Team,Country,League
Man United,UK,Premier League
Ipswich,UK,Premier League
Arsenal,UK,Premier League
Everton,UK,Premier League
Newcastle,UK,Premier League
Nott'm Forest,UK,Premier League
West Ham,UK,Premier League
Brentford,UK,Premier League
Chelsea,UK,Premier League
Leicester,UK,Premier League
Brighton,UK,Premier League
Crystal Palace,UK,Premier League
Fulham,UK,Premier League
Man City,UK,Premier League
Southampton,UK,Premier League
Tottenham,UK,Premier League
Aston Villa,UK,Premier League
Bournemouth,UK,Premier League
Wolves,UK,Premier League
Liverpool,UK,Premier League
M'gladbach,Germany,Bundesliga
Augsburg,Germany,Bundesliga
Freiburg,Germany,Bundesliga
Hoffenheim,Germany,Bundesliga
Mainz,Germany,Bundesliga
RB Leipzig,Germany,Bundesliga
Dortmund,Germany,Bundesliga
Wolfsburg,Germany,Bundesliga
St Pauli,Germany,Bundesliga
Union Berlin,Germany,Bundesliga
Bochum,Germany,Bundesliga
Ein Frankfurt,Germany,Bundesliga
Holstein Kiel,Germany,Bundesliga
Stuttgart,Germany,Bundesliga
Werder Bremen,Germany,Bundesliga
Leverkusen,Germany,Bundesliga
Heidenheim,Germany,Bundesliga
Bayern Munich,Germany,Bundesliga
Genoa,Italy,Serie A
Parma,Italy,Serie A
Empoli,Italy,Serie A
Milan,Italy,Serie A
Bologna,Italy,Serie A
Verona,Italy,Serie A
Cagliari,Italy,Serie A
Lazio,Italy,Serie A
Lecce,Italy,Serie A
Juventus,Italy,Serie A
Udinese,Italy,Serie A
Inter,Italy,Serie A
Monza,Italy,Serie A
Fiorentina,Italy,Serie A
Torino,Italy,Serie A
Napoli,Italy,Serie A
Roma,Italy,Serie A
Venezia,Italy,Serie A
Como,Italy,Serie A
Atalanta,Italy,Serie A
Ath Bilbao,Spain,LaLiga
Betis,Spain,LaLiga
Celta,Spain,LaLiga
Las Palmas,Spain,LaLiga
Osasuna,Spain,LaLiga
Valencia,Spain,LaLiga
Sociedad,Spain,LaLiga
Mallorca,Spain,LaLiga
Valladolid,Spain,LaLiga
Villarreal,Spain,LaLiga
Sevilla,Spain,LaLiga
Barcelona,Spain,LaLiga
Espanol,Spain,LaLiga
Getafe,Spain,LaLiga
Real Madrid,Spain,LaLiga
Leganes,Spain,LaLiga
Alaves,Spain,LaLiga
Ath Madrid,Spain,LaLiga
Vallecano,Spain,LaLiga
Girona,Spain,LaLiga
Le Havre,France,Ligue 1
Brest,France,Ligue 1
Reims,France,Ligue 1
Monaco,France,Ligue 1
Auxerre,France,Ligue 1
Angers,France,Ligue 1
Montpellier,France,Ligue 1
Toulouse,France,Ligue 1
Rennes,France,Ligue 1
Paris SG,France,Ligue 1
Lyon,France,Ligue 1
Lille,France,Ligue 1
St Etienne,France,Ligue 1
Lens,France,Ligue 1
Nantes,France,Ligue 1
Nice,France,Ligue 1
Strasbourg,France,Ligue 1
Marseille,France,Ligue 1
